FieldID,Instance,Field,ValueType,Coding,Class_top,Class_detail,Missing,NA_process,Priority,Keep,Imp_name
31,0,Sex,Categorical single,9,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Sex
46,0,Hand grip strength (left),Integer,NA,Measures,physical,"0, MCAR",NA,1,NA,Hand grip strength
47,0,Hand grip strength (right),Integer,NA,Measures,physical,"0, MCAR",NA,1,NA,Hand grip strength
48,0,Waist circumference,Continuous,NA,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Waist circumference
49,0,Hip circumference,Continuous,NA,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Hip circumference
50,0,Standing height,Continuous,NA,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Standing height
51,0,Seated height,Continuous,NA,Measures,physical,"0, MCAR",NA,1,NA,Seated height
78,0,"Heel bone mineral density (BMD) T-score, automated",Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel bone mineral density (BMD)
102,0,"Pulse rate, automated reading",Integer,NA,Measures,physical,"0, MCAR",NA,1,NA,Pulse rate
670,0,Type of accommodation lived in,Categorical single,100286,Natural and social environment,household,"0, MCAR",NA,1,NA,Type of accommodation
680,0,Own or rent accommodation lived in,Categorical single,100287,Natural and social environment,household,"2, MAR",NA,1,NA,Own or rent accommodation
699,0,Length of time at current address,Integer,100290,Natural and social environment,household,"0, MCAR",NA,1,NA,Length of time at current address
709,0,Number in household,Integer,100291,Natural and social environment,household,"2, MAR",NA,1,NA,Number in household
728,0,Number of vehicles in household,Categorical single,100293,Natural and social environment,household,"2, MAR",NA,1,NA,Number of vehicles in household
738,0,Average total household income before tax,Categorical single,100294,Natural and social environment,household,"2, MAR",NA,1,NA,Average total household income before tax
757,0,Time employed in main current job,Integer,100290,Baseline characteristics,job,"2, MAR",NA,2,NA,Time employed in main current job
767,0,Length of working week for main job,Integer,100291,Baseline characteristics,job,"2, MAR",NA,2,NA,Length of working week for main job
777,0,Frequency of travelling from home to job workplace,Integer,100298,Baseline characteristics,job,"2, MAR",NA,2,NA,Frequency of travelling from home to workplace
796,0,Distance between home and job workplace,Integer,100300,Baseline characteristics,job,"2, MAR",NA,2,NA,Distance between home and workplace
806,0,Job involves mainly walking or standing,Categorical single,100301,Life,activity,"2, MAR",NA,2,NA,Job involves mainly walking or standing
816,0,Job involves heavy manual or physical work,Categorical single,100301,Life,activity,"2, MAR",NA,2,NA,Job involves heavy manual or physical work
826,0,Job involves shift work,Categorical single,100301,Life,activity,"2, MAR",NA,2,NA,Job involves shift work
845,0,Age completed full time education,Integer,100306,Baseline characteristics,education,"2, MAR",NA,2,NA,Age completed full time education
864,0,Number of days/week walked 10+ minutes,Integer,100307,Life,activity,"0, MCAR",NA,1,NA,Number of days/week walked 10+ minutes
874,0,Duration of walks,Integer,100291,Life,activity,"1, manually","0, if 864",2,NA,Duration of walks
884,0,Number of days/week of moderate physical activity 10+ minutes,Integer,100291,Life,activity,"0, MCAR",NA,1,NA,Number of days/week of moderate physical activity 10+ minutes
894,0,Duration of moderate activity,Integer,100291,Life,activity,"1, manually","0, if 884",2,NA,Duration of moderate activity
904,0,Number of days/week of vigorous physical activity 10+ minutes,Integer,100291,Life,activity,"0, MCAR",NA,1,NA,Number of days/week of vigorous physical activity 10+ minutes
914,0,Duration of vigorous activity,Integer,100291,Life,activity,"1, manually","0, if 904",2,NA,Duration of vigorous activity
924,0,Usual walking pace,Categorical single,100313,Life,activity,"2, MAR",NA,2,NA,Usual walking pace
943,0,Frequency of stair climbing in last 4 weeks,Categorical single,100314,Life,activity,"1, manually","0, if 864",2,NA,Frequency of stair climbing in last 4 weeks
971,0,Frequency of walking for pleasure in last 4 weeks,Categorical single,100317,Life,activity,"1, manually","0, if 6164",2,NA,Frequency of walking for pleasure in last 4 weeks
981,0,Duration walking for pleasure,Categorical single,100318,Life,activity,"1, manually","0, if 6164",2,NA,Duration walking for pleasure
991,0,Frequency of strenuous sports in last 4 weeks,Categorical single,100317,Life,activity,"1, manually","0, if 6164",2,NA,Frequency of strenuous sports in last 4 weeks
1001,0,Duration of strenuous sports,Categorical single,100318,Life,activity,"1, manually","0, if 6164",2,NA,Duration of strenuous sports
1011,0,Frequency of light DIY in last 4 weeks,Categorical single,100317,Life,activity,"1, manually","0, if 6164",2,NA,Frequency of light DIY in last 4 weeks
1021,0,Duration of light DIY,Categorical single,100318,Life,activity,"1, manually","0, if 6164",2,NA,Duration of light DIY
1031,0,Frequency of friend/family visits,Categorical single,100327,Life,mental health,"3, pilot",10740,1,NA,Frequency of friend/family visits
1050,0,Time spend outdoors in summer,Integer,100329,Life,activity,"0, MCAR",NA,2,NA,Time spend outdoors in summer
1060,0,Time spent outdoors in winter,Integer,100329,Life,activity,"0, MCAR",NA,2,NA,Time spent outdoors in winter
1070,0,Time spent watching television (TV),Integer,100329,Life,activity,"0, MCAR",NA,2,NA,Time spent watching television (TV)
1080,0,Time spent using computer,Integer,100329,Life,activity,"0, MCAR",NA,2,NA,Time spent using computer
1090,0,Time spent driving,Integer,100329,Life,activity,"0, MCAR",NA,2,NA,Time spent driving
1100,0,Drive faster than motorway speed limit,Categorical single,100334,Life,activity,"0, MCAR",NA,3,NA,Drive faster than motorway speed limit
1110,0,Length of mobile phone use,Categorical single,100335,Life,electronic,"0, MCAR",NA,1,NA,Length of mobile phone use
1120,0,Weekly usage of mobile phone in last 3 months,Categorical single,100336,Life,electronic,"1, manually","0, if 1110",2,NA,Weekly usage of mobile phone in last 3 months
1130,0,Hands-free device/speakerphone use with mobile phone in last 3 month,Categorical single,100337,Life,electronic,"1, manually","0, if 1110",2,NA,Hands-free device/speakerphone use with mobile phone in last 3 month
1140,0,Difference in mobile phone use compared to two years previously,Categorical single,100338,Life,electronic,"2, MAR",NA,2,NA,Difference in mobile phone use compared to two years previously
1150,0,Usual side of head for mobile phone use,Categorical single,100339,Life,electronic,"2, MAR",NA,2,NA,Usual side of head for mobile phone use
1160,0,Sleep duration,Integer,100291,Life,sleep,"0, MCAR",NA,1,NA,Sleep duration
1170,0,Getting up in morning,Categorical single,100341,Life,sleep,"0, MCAR",NA,2,NA,Getting up in morning
1180,0,Daytime dozing / sleeping,Categorical single,100342,Life,sleep,"0, MCAR",NA,2,NA,Daytime dozing / sleeping
1190,0,Nap during day,Categorical single,100343,Life,sleep,"0, MCAR",NA,2,NA,Nap during day
1200,0,Sleeplessness / insomnia,Categorical single,100343,Life,sleep,"0, MCAR",NA,1,NA,Sleeplessness / insomnia
1210,0,Snoring,Categorical single,100345,Life,sleep,"0, MCAR",NA,2,NA,Snoring
1220,0,Daytime dozing / sleeping (narcolepsy),Categorical single,100346,Life,sleep,"0, MCAR",NA,2,NA,Daytime dozing / sleeping (narcolepsy)
1239,0,Current tobacco smoking,Categorical single,100347,Life,smoking,"0, MCAR",NA,1,NA,Current tobacco smoking
1249,0,Past tobacco smoking,Categorical single,100348,Life,smoking,"2, MAR",NA,2,NA,Past tobacco smoking
1259,0,Smoking/smokers in household,Categorical single,100370,Natural and social environment,smoking,"2.2, MAR, meaningful",NA,2,NA,Smoking/smokers in household
1269,0,Exposure to tobacco smoke at home,Integer,100291,Natural and social environment,smoking,"2.2, MAR, meaningful",NA,2,NA,Exposure to tobacco smoke at home
1279,0,Exposure to tobacco smoke outside home,Integer,100291,Natural and social environment,smoking,"2.2, MAR, meaningful",NA,2,NA,Exposure to tobacco smoke outside home
1289,0,Cooked vegetable intake,Integer,100373,Life,diet,"0, MCAR",NA,1,NA,Cooked vegetable intake
1299,0,Salad / raw vegetable intake,Integer,100373,Life,diet,"0, MCAR",NA,1,NA,Salad / raw vegetable intake
1309,0,Fresh fruit intake,Integer,100373,Life,diet,"0, MCAR",NA,1,NA,Fresh fruit intake
1319,0,Dried fruit intake,Integer,100373,Life,diet,"0, MCAR",NA,1,NA,Dried fruit intake
1329,0,Oily fish intake,Categorical single,100377,Life,diet,"0, MCAR",NA,1,NA,Oily fish intake
1339,0,Non-oily fish intake,Categorical single,100377,Life,diet,"0, MCAR",NA,1,NA,Non-oily fish intake
1349,0,Processed meat intake,Categorical single,100377,Life,diet,"0, MCAR",NA,1,NA,Processed meat intake
1359,0,Poultry intake,Categorical single,100377,Life,diet,"0, MCAR",NA,1,NA,Poultry intake
1369,0,Beef intake,Categorical single,100377,Life,diet,"0, MCAR",NA,1,NA,Beef intake
1379,0,Lamb/mutton intake,Categorical single,100377,Life,diet,"0, MCAR",NA,1,NA,Lamb/mutton intake
1389,0,Pork intake,Categorical single,100377,Life,diet,"0, MCAR",NA,1,NA,Pork intake
1408,0,Cheese intake,Categorical single,100377,Life,diet,"0, MCAR",NA,1,NA,Cheese intake
1418,0,Milk type used,Categorical single,100387,Life,diet,"0, MCAR",NA,1,NA,Milk type used
1428,0,Spread type,Categorical single,100388,Life,diet,"0, MCAR",NA,1,NA,Spread type
1438,0,Bread intake,Integer,100373,Life,diet,"0, MCAR",NA,1,NA,Bread intake
1448,0,Bread type,Categorical single,100391,Life,diet,"0, MCAR",NA,2,NA,Bread type
1458,0,Cereal intake,Integer,100373,Life,diet,"0, MCAR",NA,1,NA,Cereal intake
1468,0,Cereal type,Categorical single,100393,Life,diet,"0, MCAR",NA,2,NA,Cereal type
1478,0,Salt added to food,Categorical single,100394,Life,diet,"0, MCAR",NA,1,NA,Salt added to food
1488,0,Tea intake,Integer,100373,Life,diet,"0, MCAR",NA,1,NA,Tea intake
1508,0,Coffee type,Categorical single,100397,Life,diet,"0, MCAR",NA,2,NA,Coffee type
1518,0,Hot drink temperature,Categorical single,100398,Life,diet,"0, MCAR",NA,1,NA,Hot drink temperature
1528,0,Water intake,Integer,100373,Life,diet,"0, MCAR",NA,1,NA,Water intake
1538,0,Major dietary changes in the last 5 years,Categorical single,100400,Life,diet,"0, MCAR",NA,3,NA,Major dietary changes in the last 5 years
1548,0,Variation in diet,Categorical single,100401,Life,diet,"3, pilot",NA,3,NA,Variation in diet
1558,0,Alcohol intake frequency.,Categorical single,100402,Life,alcohol,"0, MCAR",NA,1,NA,Alcohol intake frequency.
1568,0,Average weekly red wine intake,Integer,100291,Life,alcohol,"1, manually","0, if 1558 more than once a week",2,NA,Average weekly red wine intake
1578,0,Average weekly champagne plus white wine intake,Integer,100291,Life,alcohol,"1, manually","0, if 1558 more than once a week",2,NA,Average weekly champagne plus white wine intake
1588,0,Average weekly beer plus cider intake,Integer,100291,Life,alcohol,"1, manually","0, if 1558 more than once a week",2,NA,Average weekly beer plus cider intake
1598,0,Average weekly spirits intake,Integer,100291,Life,alcohol,"1, manually","0, if 1558 more than once a week",2,NA,Average weekly spirits intake
1608,0,Average weekly fortified wine intake,Integer,100291,Life,alcohol,"1, manually","0, if 1558 more than once a week",2,NA,Average weekly fortified wine intake
1618,0,Alcohol usually taken with meals,Categorical single,100416,Life,alcohol,"2, MAR",NA,3,NA,Alcohol usually taken with meals
1628,0,Alcohol intake versus 10 years previously,Categorical single,100417,Life,alcohol,"2.2, MAR, meaningful",NA,3,NA,Alcohol intake versus 10 years previously
1717,0,Skin colour,Categorical single,100431,Baseline characteristics,appearance,"0, MCAR",NA,3,NA,Skin colour
1727,0,Ease of skin tanning,Categorical single,100432,Life,appearance,"0, MCAR",NA,3,NA,Ease of skin tanning
1747,0,"Hair colour (natural, before greying)",Categorical single,100434,Baseline characteristics,appearance,"0, MCAR",NA,3,NA,Natural hair colour
1757,0,Facial ageing,Categorical single,100435,Life,appearance,"0, MCAR",NA,3,NA,Facial ageing
1767,0,Adopted as a child,Categorical single,100349,Natural and social environment,early life,"0, MCAR",NA,1,NA,Adopted as a child
1920,0,Mood swings,Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Mood swings
1930,0,Miserableness,Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Miserableness
1940,0,Irritability,Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Irritability
1950,0,Sensitivity / hurt feelings,Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Sensitivity / hurt feelings
1960,0,Fed-up feelings,Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Fed-up feelings
1970,0,Nervous feelings,Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Nervous feelings
1980,0,Worrier / anxious feelings,Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Worrier / anxious feelings
1990,0,Tense / 'highly strung',Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Tense / 'highly strung'
2000,0,Worry too long after embarrassment,Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Worry too long after embarrassment
2010,0,Suffer from 'nerves',Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Suffer from 'nerves'
2020,0,"Loneliness, isolation",Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,"Loneliness, isolation"
2030,0,Guilty feelings,Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Guilty feelings
2040,0,Risk taking,Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,Risk taking
2050,0,Frequency of depressed mood in last 2 weeks,Categorical single,100484,Life,mental health,"0, MCAR",NA,1,NA,Frequency of depressed mood in last 2 weeks
2060,0,Frequency of unenthusiasm / disinterest in last 2 weeks,Categorical single,100484,Life,mental health,"0, MCAR",NA,1,NA,Frequency of unenthusiasm / disinterest in last 2 weeks
2070,0,Frequency of tenseness / restlessness in last 2 weeks,Categorical single,100484,Life,mental health,"0, MCAR",NA,1,NA,Frequency of tenseness / restlessness in last 2 weeks
2080,0,Frequency of tiredness / lethargy in last 2 weeks,Categorical single,100484,Life,mental health,"0, MCAR",NA,1,NA,Frequency of tiredness / lethargy in last 2 weeks
2090,0,"Seen doctor (GP) for nerves, anxiety, tension or depression",Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,"Seen doctor (GP) for nerves, anxiety, tension or depression"
2100,0,"Seen a psychiatrist for nerves, anxiety, tension or depression",Categorical single,100349,Life,mental health,"0, MCAR",NA,1,NA,"Seen a psychiatrist for nerves, anxiety, tension or depression"
2110,0,Able to confide,Categorical single,100501,Life,mental health,"0, MCAR",NA,1,NA,Able to confide
2207,0,Wears glasses or contact lenses,Categorical single,100352,Life,eyesight,"0, MCAR",NA,2,NA,Wears glasses or contact lenses
2217,0,Age started wearing glasses or contact lenses,Integer,100291,Life,eyesight,"2, MAR",NA,2,NA,Age started wearing glasses or contact lenses
2227,0,Other eye problems,Categorical single,100352,Measures,eyesight,"0, MCAR",NA,1,NA,Other eye problems
2237,0,Plays computer games,Categorical single,100639,Life,electronic,"0, MCAR",NA,1,NA,Plays computer games
2247,0,Hearing difficulty/problems,Categorical single,100631,Measures,hearing,"0, MCAR",NA,1,NA,Hearing difficulty/problems
2257,0,Hearing difficulty/problems with background noise,Categorical single,100349,Measures,hearing,"2, MAR",2247,2,NA,Hearing difficulty/problems
2267,0,Use of sun/uv protection,Categorical single,100536,Life,activity,"0, MCAR",NA,2,NA,Use of sun/uv protection
2277,0,Frequency of solarium/sunlamp use,Integer,100537,Life,activity,"0, MCAR",NA,2,NA,Frequency of solarium/sunlamp use
2316,0,Wheeze or whistling in the chest in last year,Categorical single,100349,Measures,feeling,"0, MCAR",NA,1,NA,Wheeze or whistling in the chest in last year
2335,0,Chest pain or discomfort,Categorical single,100349,Measures,feeling,"0, MCAR",NA,1,NA,Chest pain or discomfort
2395,0,Hair/balding pattern,Categorical single,100572,Life,appearance,"2, MAR",NA,2,NA,Hair/balding pattern
2405,0,Number of children fathered,Integer,100291,Natural and social environment,household,"2, MAR",NA,2,NA,Number of children fathered
2624,0,Frequency of heavy DIY in last 4 weeks,Categorical single,100317,Life,activity,"1, manually","0, if 6164",2,NA,Frequency of heavy DIY in last 4 weeks
2634,0,Duration of heavy DIY,Categorical single,100318,Life,activity,"1, manually","0, if 6164",2,NA,Duration of heavy DIY
2644,0,"Light smokers, at least 100 smokes in lifetime",Categorical single,100349,Life,smoking,"2, MAR",NA,2,NA,"Light smokers, at least 100 smokes in lifetime"
2654,0,Non-butter spread type details,Categorical single,100389,Life,diet,"2, MAR",NA,2,NA,Non-butter spread type details
2664,0,Reason for reducing amount of alcohol drunk,Categorical single,100418,Life,alcohol,"2, MAR",NA,2,NA,Reason for reducing amount of alcohol drunk
2724,0,Had menopause,Categorical single,100579,Life,other,"2, MAR",NA,2,NA,Had menopause
2774,0,"Ever had stillbirth, spontaneous miscarriage or termination",Categorical single,100349,Natural and social environment,early life,"3, MAR",NA,1,NA,Termination of pregnancy
2867,0,Age started smoking in former smokers,Integer,100291,Life,smoking,"2, MAR",NA,2,NA,Age started smoking in former smokers
2877,0,Type of tobacco previously smoked,Categorical single,100351,Life,smoking,"2, MAR",NA,2,NA,Type of tobacco previously smoked
2887,0,Number of cigarettes previously smoked daily,Integer,100353,Life,smoking,"2, MAR",NA,2,NA,Number of cigarettes previously smoked daily
2897,0,Age stopped smoking,Integer,100291,Life,smoking,"2, MAR",NA,2,NA,Age stopped smoking
2907,0,Ever stopped smoking for 6+ months,Categorical single,100349,Life,smoking,"2, MAR",NA,2,NA,Ever stopped smoking for 6+ months
2926,0,Number of unsuccessful stop-smoking attempts,Integer,100291,Life,smoking,"2, MAR",NA,2,NA,Number of unsuccessful stop-smoking attempts
2956,0,General pain for 3+ months,Categorical single,100349,Measures,feeling,"1, manually",NA,1,NA,General pain for 3+ months
3062,0,Forced vital capacity (FVC),Continuous,NA,Measures,physical,"0, MCAR",NA,1,NA,Forced vital capacity (FVC)
3063,0,Forced expiratory volume in 1-second (FEV1),Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Forced expiratory volume in 1-second (FEV1)
3064,0,Peak expiratory flow (PEF),Integer,NA,Measures,physical,"0, MCAR",NA,2,NA,Peak expiratory flow (PEF)
3077,0,Seating box height,Categorical single,100262,Measures,physical,"0, MCAR",NA,1,NA,Seating box height
3081,0,Foot measured for bone density,Categorical single,24,Measures,physical,"0, MCAR",NA,3,NA,Foot measured for bone density
3082,0,Fractured heel,Categorical single,100267,Measures,physical,"0, MCAR",NA,1,NA,Fractured heel
3143,0,Ankle spacing width,Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Ankle spacing width
3144,0,"Heel Broadband ultrasound attenuation, direct entry",Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel Broadband ultrasound attenuation
3147,0,"Heel quantitative ultrasound index (QUI), direct entry",Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel quantitative ultrasound index (QUI)
3148,0,Heel bone mineral density (BMD),Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel bone mineral density (BMD)
3393,0,Hearing aid user,Categorical single,100352,Measures,hearing,"2, MAR",2247,3,NA,Hearing aid user
3404,0,Neck/shoulder pain for 3+ months,Categorical single,100349,Measures,feeling,"1, manually",NA,2,NA,Neck/shoulder pain for 3+ months
3414,0,Hip pain for 3+ months,Categorical single,100349,Measures,feeling,"1, manually",NA,2,NA,Hip pain for 3+ months
3426,0,Job involves night shift work,Categorical single,100301,Life,activity,"2, MAR",NA,2,NA,Back pain for 3+ months
3436,0,Age started smoking in current smokers,Integer,100291,Life,smoking,"2, MAR",NA,2,NA,Age started smoking in current smokers
3446,0,Type of tobacco currently smoked,Categorical single,100351,Life,smoking,"2, MAR",NA,2,NA,Type of tobacco currently smoked
3456,0,Number of cigarettes currently smoked daily (current cigarette smokers),Integer,100355,Life,smoking,"2, MAR",NA,2,NA,Number of cigarettes currently smoked daily
3466,0,Time from waking to first cigarette,Categorical single,100356,Life,smoking,"2, MAR",NA,2,NA,Time from waking to first cigarette
3506,0,Smoking compared to 10 years previous,Categorical single,100360,Life,smoking,"2, MAR",NA,2,NA,Smoking compared to 10 years previous
3571,0,Back pain for 3+ months,Categorical single,100349,Measures,feeling,"1, manually",NA,2,NA,Back pain for 3+ months
3606,0,Chest pain or discomfort walking normally,Categorical single,100563,Measures,feeling,"1, manually",2335,2,NA,Chest pain or discomfort walking normally
3616,0,Chest pain due to walking ceases when standing still,Categorical single,100349,Measures,feeling,"1, manually",2335,2,NA,Chest pain due to walking ceases when standing still
3637,0,Frequency of other exercises in last 4 weeks,Categorical single,100317,Life,activity,"1, manually","0, if 6164",2,NA,Frequency of other exercises in last 4 weeks
3647,0,Duration of other exercises,Categorical single,100318,Life,activity,"1, manually","0, if 6164",2,NA,Duration of other exercises
3710,0,Length of menstrual cycle,Integer,100582,Life,other,"2, MAR",NA,1,NA,Length of menstrual cycle
3731,0,Former alcohol drinker,Categorical single,100352,Life,alcohol,"2, MAR",NA,1,NA,Former alcohol drinker
3741,0,Stomach/abdominal pain for 3+ months,Categorical single,100349,Measures,feeling,"1, manually",NA,2,NA,Stomach/abdominal pain for 3+ months
3751,0,Chest pain or discomfort when walking uphill or hurrying,Categorical single,100564,Measures,feeling,"1, manually",2335,2,NA,Chest pain or discomfort when walking uphill or hurrying
3773,0,Knee pain for 3+ months,Categorical single,100349,Measures,feeling,"1, manually",NA,2,NA,Knee pain for 3+ months
3799,0,Headaches for 3+ months,Categorical single,100349,Measures,feeling,"1, manually",NA,2,NA,Headaches for 3+ months
3859,0,Reason former drinker stopped drinking alcohol,Categorical single,100418,Life,alcohol,"2, MAR",NA,2,NA,Reason former drinker stopped drinking alcohol
4067,0,Facial pains for 3+ months,Categorical single,100349,Measures,feeling,"1, manually",NA,2,NA,Facial pains for 3+ months
4079,0,"Diastolic blood pressure, automated reading",Integer,NA,Measures,physical,"0, MCAR",NA,1,NA,Diastolic blood pressure
