FieldID,Instance,Field,ValueType,Coding,Class_top,Class_detail,Missing,NA_process,Priority,Keep,Imp_name
4080,0,"Systolic blood pressure, automated reading",Integer,NA,Measures,physical,"0, MCAR",NA,1,NA,Systolic blood pressure
4100,0,Ankle spacing width (left),Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Ankle spacing width
4101,0,Heel broadband ultrasound attenuation (left),Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel broadband ultrasound attenuation
4104,0,"Heel quantitative ultrasound index (QUI), direct entry (left)",Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel quantitative ultrasound index (QUI)
4105,0,Heel bone mineral density (BMD) (left),Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel bone mineral density (BMD)
4106,0,"Heel bone mineral density (BMD) T-score, automated (left)",Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel bone mineral density (BMD)
4119,0,Ankle spacing width (right),Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Ankle spacing width
4120,0,Heel broadband ultrasound attenuation (right),Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel broadband ultrasound attenuation
4123,0,"Heel quantitative ultrasound index (QUI), direct entry (right)",Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel quantitative ultrasound index (QUI)
4124,0,Heel bone mineral density (BMD) (right),Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel bone mineral density (BMD)
4125,0,"Heel bone mineral density (BMD) T-score, automated (right)",Continuous,NA,Measures,physical,"0, MCAR",NA,3,NA,Heel bone mineral density (BMD)
4195,0,Pulse wave reflection index,Integer,NA,Measures,physical,"0, MCAR",NA,1,NA,Pulse wave reflection index
4196,0,Pulse wave peak to peak time,Integer,NA,Measures,physical,"0, MCAR",NA,1,NA,Pulse wave peak to peak time
4233,0,"Mean signal-to-noise ratio (SNR), (left)",Continuous,7667,Measures,hearing,MNAR,NA,3,NA,Mean signal-to-noise ratio (SNR)
4244,0,"Mean signal-to-noise ratio (SNR), (right)",Continuous,7667,Measures,hearing,MNAR,NA,3,NA,Mean signal-to-noise ratio (SNR)
4407,0,Average monthly red wine intake,Integer,100291,Life,alcohol,-1,"0, if 1558 more than once a week",2,NA,Average monthly red wine intake
4418,0,Average monthly champagne plus white wine intake,Integer,100291,Life,alcohol,-1,"0, if 1558 more than once a week",2,NA,Average monthly champagne plus white wine intake
4429,0,Average monthly beer plus cider intake,Integer,100291,Life,alcohol,-1,"0, if 1558 more than once a week",2,NA,Average monthly beer plus cider intake
4440,0,Average monthly spirits intake,Integer,100291,Life,alcohol,-1,"0, if 1558 more than once a week",2,NA,Average monthly spirits intake
4451,0,Average monthly fortified wine intake,Integer,100291,Life,alcohol,-1,"0, if 1558 more than once a week",2,NA,Average monthly fortified wine intake
4462,0,Average monthly intake of other alcoholic drinks,Integer,100291,Life,alcohol,-1,"0, if 1558 more than once a week",2,NA,Average monthly intake of other alcoholic drinks
4598,0,Ever depressed for a whole week,Categorical single,100349,Life,mental health,MNAR,NA,1,NA,Ever depressed for a whole week
4609,0,Longest period of depression,Integer,100291,Life,mental health,MNAR,"0, if 4598",1,NA,Longest period of depression
4620,0,Number of depression episodes,Integer,100291,Life,mental health,MNAR,0. if 4598,1,NA,Number of depression episodes
4631,0,Ever unenthusiastic/disinterested for a whole week,Categorical single,100349,Life,mental health,MNAR,NA,1,NA,Ever unenthusiastic/disinterested for a whole week
4642,0,Ever manic/hyper for 2 days,Categorical single,100349,Life,mental health,MNAR,NA,1,NA,Ever manic/hyper for 2 days
4653,0,Ever highly irritable/argumentative for 2 days,Categorical single,100349,Life,mental health,MNAR,NA,1,NA,Ever highly irritable/argumentative for 2 days
4674,0,Private healthcare,Categorical single,100511,Natural and social environment,other,MNAR,NA,2,NA,Private healthcare
4717,0,Shortness of breath walking on level ground,Categorical single,100349,Measures,feeling,MNAR,NA,1,NA,Shortness of breath walking on level ground
4728,0,Leg pain on walking,Categorical single,100349,Measures,feeling,MNAR,NA,1,NA,Leg pain on walking
4792,0,Cochlear implant,Categorical single,100352,Measures,hearing,"2, MAR",2247,3,NA,Cochlear implant
4803,0,Tinnitus,Categorical single,100635,Measures,hearing,"2, MAR",2247,3,NA,Tinnitus
4814,0,Tinnitus severity/nuisance,Categorical single,100636,Measures,hearing,"2, MAR",2247,3,NA,Tinnitus
4825,0,Noisy workplace,Categorical single,100637,Natural and social environment,hearing,"2, MAR",NA,1,NA,Noisy workplace
4836,0,Loud music exposure frequency,Categorical single,100637,Natural and social environment,hearing,"2, MAR",NA,1,NA,Loud music exposure frequency
5183,0,Current eye infection,Categorical single,7,Measures,eyesight,MNAR,NA,2,NA,Current eye infection
5201,0,"logMAR, final (right)",Continuous,NA,Measures,eyesight,MNAR,NA,1,NA,logMAR
5208,0,"logMAR, final (left)",Continuous,NA,Measures,eyesight,MNAR,NA,1,NA,logMAR
5221,0,Index of best refractometry result (right),Integer,NA,Measures,eyesight,MNAR,NA,2,NA,Index of best refractometry result
5254,0,"Intra-ocular pressure, corneal-compensated (right)",Continuous,NA,Measures,eyesight,MNAR,NA,2,NA,Intra-ocular pressure
5255,0,"Intra-ocular pressure, Goldmann-correlated (right)",Continuous,NA,Measures,eyesight,MNAR,NA,2,NA,Intra-ocular pressure
5256,0,Corneal hysteresis (right),Continuous,NA,Measures,eyesight,MNAR,NA,2,NA,Corneal hysteresis
5257,0,Corneal resistance factor (right),Continuous,NA,Measures,eyesight,MNAR,NA,2,NA,Corneal resistance factor
5262,0,"Intra-ocular pressure, corneal-compensated (left)",Continuous,NA,Measures,eyesight,MNAR,NA,2,NA,Intra-ocular pressure
5263,0,"Intra-ocular pressure, Goldmann-correlated (left)",Continuous,NA,Measures,eyesight,MNAR,NA,2,NA,Intra-ocular pressure
5264,0,Corneal hysteresis (left),Continuous,NA,Measures,eyesight,MNAR,NA,2,NA,Corneal hysteresis
5265,0,Corneal resistance factor (left),Continuous,NA,Measures,eyesight,MNAR,NA,2,NA,Corneal resistance factor
5276,0,Index of best refractometry result (left),Integer,NA,Measures,eyesight,MNAR,NA,2,NA,Index of best refractometry result
5364,0,Average weekly intake of other alcoholic drinks,Integer,100291,Life,alcohol,"1, manually","0, if 1558 more than once a week",2,NA,Average weekly intake of other alcoholic drinks
5375,0,Longest period of unenthusiasm / disinterest,Integer,100291,Life,mental health,"1, manually","0, if 4631",1,NA,Longest period of unenthusiasm / disinterest
5386,0,Number of unenthusiastic/disinterested episodes,Integer,100291,Life,mental health,"1, manually","0, if 4631",1,NA,Number of unenthusiastic/disinterested episodes
5452,0,Leg pain when standing still or sitting,Categorical single,100349,Measures,feeling,MNAR,4728,2,NA,Leg pain when standing still or sitting
5463,0,Leg pain in calf/calves,Categorical single,100349,Measures,feeling,MNAR,4728,2,NA,Leg pain in calf/calves
5474,0,Leg pain when walking uphill or hurrying,Categorical single,100349,Measures,feeling,MNAR,4728,2,NA,Leg pain on walking
5485,0,Leg pain when walking normally,Categorical single,100349,Measures,feeling,MNAR,4728,2,NA,Leg pain on walking
5496,0,Leg pain when walking ever disappears while walking,Categorical single,100349,Measures,feeling,MNAR,4728,2,NA,Leg pain on walking
5507,0,Leg pain on walking : action taken,Categorical single,100549,Measures,feeling,MNAR,4728,2,NA,Leg pain on walking
5518,0,Leg pain on walking : effect of standing still,Categorical single,100550,Measures,feeling,MNAR,4728,2,NA,Leg pain on walking
5663,0,Length of longest manic/irritable episode,Categorical single,100499,Life,mental health,"1, manually","0, if 4653, 4642",1,NA,Length of longest manic/irritable episode
5674,0,Severity of manic/irritable episodes,Categorical single,100500,Life,mental health,"1, manually","0, if 4653, 4642",1,NA,Severity of manic/irritable episodes
5959,0,Previously smoked cigarettes on most/all days,Categorical single,100352,Life,smoking,"2, MAR",NA,1,NA,Previously smoked cigarettes on most/all days
6138,0,Qualifications,Categorical multiple,100305,Baseline characteristics,education,"0, MCAR",NA,1,NA,Qualifications
6139,0,Gas or solid-fuel cooking/heating,Categorical multiple,100288,Life,household,"3, pilot",NA,3,NA,Gas or solid-fuel cooking/heating
6140,0,Heating type(s) in home,Categorical multiple,100289,Life,household,"0, MCAR",NA,3,NA,Heating types in home
6141,0,How are people in household related to participant,Categorical multiple,100292,Natural and social environment,household,"2, MAR",NA,3,NA,How are people in household related to participant
6142,0,Current employment status,Categorical multiple,100295,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Current employment status
6143,0,Transport type for commuting to job workplace,Categorical multiple,100299,Baseline characteristics,job,"2, MAR",NA,2,NA,Transport type for commuting to workplace
6144,0,"Never eat eggs, dairy, wheat, sugar",Categorical multiple,100385,Life,diet,"3, pilot",NA,1,NA,"Never eat eggs, dairy, wheat, sugar"
6145,0,"Illness, injury, bereavement, stress in last 2 years",Categorical multiple,100502,Life,mental health,"3, pilot",NA,1,NA,"Illness, injury, bereavement, stress in last 2 years"
6146,0,Attendance/disability/mobility allowance,Categorical multiple,100510,Natural and social environment,other,"0, MCAR",NA,3,NA,Attendance/disability/mobility allowance
6147,0,Reason for glasses/contact lenses,Categorical multiple,100514,Measures,eyesight,"2, MAR",NA,2,NA,Reason for glasses/contact lenses
6156,0,Manic/hyper symptoms,Categorical multiple,100498,Life,mental health,"2, MAR",NA,2,NA,Manic/hyper symptoms
6157,0,Why stopped smoking,Categorical multiple,100361,Life,smoking,"2, MAR",NA,2,NA,Why stopped smoking
6158,0,Why reduced smoking,Categorical multiple,100361,Life,smoking,"2, MAR",NA,2,NA,Why reduced smoking
6159,0,Pain type(s) experienced in last month,Categorical multiple,100553,Measures,feeling,"0, MCAR",NA,2,NA,Pain type(s) experienced in last month
6160,0,Leisure/social activities,Categorical multiple,100328,Life,activity,"0, MCAR",NA,1,NA,Leisure/social activities
6162,0,Types of transport used (excluding work),Categorical multiple,100299,Life,activity,"2, MAR",NA,1,NA,Types of transport used (excluding work)
6164,0,Types of physical activity in last 4 weeks,Categorical multiple,100316,Life,activity,"0, MCAR",NA,1,NA,Types of physical activity in last 4 weeks
20019,0,Speech-reception-threshold (SRT) estimate (left),Continuous,NA,Measures,physical,"0, MCAR",NA,1,NA,Speech-reception-threshold (SRT) estimate
20021,0,Speech-reception-threshold (SRT) estimate (right),Continuous,NA,Measures,physical,"0, MCAR",NA,1,NA,Speech-reception-threshold (SRT) estimate
20022,0,Birth weight,Continuous,NA,Baseline characteristics,baseline,"0, MCAR",NA,3,NA,Birth weight
20116,0,Smoking status,Categorical single,90,Life,smoking,"0, MCAR",NA,1,NA,Smoking status
20117,0,Alcohol drinker status,Categorical single,90,Life,alcohol,"0, MCAR",NA,2,NA,Alcohol drinker status
20121,0,Cascot confidence score,Integer,NA,Life,job,MNAR,NA,3,NA,Cascot confidence score
20122,0,Bipolar disorder status,Categorical single,100694,Life,mental health,MNAR,NA,1,NA,Bipolar disorder status
20126,0,Bipolar and major depression status,Categorical single,100695,Life,mental health,MNAR,NA,1,NA,Bipolar and major depression status
20127,0,Neuroticism score,Integer,NA,Life,mental health,"0, MCAR",NA,3,NA,Neuroticism score
20150,0,"Forced expiratory volume in 1-second (FEV1), Best measure",Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Forced expiratory volume in 1-second (FEV1)
20151,0,"Forced vital capacity (FVC), Best measure",Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Forced vital capacity (FVC)
20153,0,"Forced expiratory volume in 1-second (FEV1), predicted",Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Forced expiratory volume in 1-second (FEV1)
20154,0,"Forced expiratory volume in 1-second (FEV1), predicted percentage",Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Forced expiratory volume in 1-second (FEV1)
20160,0,Ever smoked,Categorical single,7,Life,smoking,"0, MCAR",NA,1,NA,Ever smoked
21000,0,Ethnic background,Categorical single,1001,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Ethnic background
21001,0,Body mass index (BMI),Continuous,NA,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Body mass index (BMI)
21002,0,Weight,Continuous,NA,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Weight
21021,0,Pulse wave Arterial Stiffness index,Continuous,NA,Measures,physical,"0, MCAR",NA,1,NA,Pulse wave Arterial Stiffness index
21022,0,Age at recruitment,Integer,NA,Baseline characteristics,baseline,"0, MCAR",NA,1,NA,Age at recruitment
22009,0,Genetic principal components,Continuous,NA,Genetic,genetic,"0, MCAR",NA,3,YES,Genetic principal components
22021,0,Genetic kinship to other participants,Categorical single,682,Genetic,genetic,"0, MCAR",NA,3,NA,Genetic kinship to other participants
23099,0,Body fat percentage,Continuous,NA,Measures,physical,"0, MCAR",NA,1,NA,Body fat percentage
23100,0,Whole body fat mass,Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Whole body fat mass
23101,0,Whole body fat-free mass,Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Whole body fat-free mass
23102,0,Whole body water mass,Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Whole body water mass
23106,0,Impedance of whole body,Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Impedance of whole body
23127,0,Trunk fat percentage,Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Trunk fat percentage
23128,0,Trunk fat mass,Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Trunk fat mass
23129,0,Trunk fat-free mass,Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Trunk fat-free mass
23130,0,Trunk predicted mass,Continuous,NA,Measures,physical,"0, MCAR",NA,2,NA,Trunk predicted mass
24003,0,Nitrogen dioxide air pollution; 2010,Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Nitrogen dioxide air pollution
24004,0,Nitrogen oxides air pollution; 2010,Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Nitrogen oxides air pollution
24005,0,Particulate matter air pollution (pm10); 2010,Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Particulate matter air pollution (pm10)
24006,0,Particulate matter air pollution (pm2.5); 2010,Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Particulate matter air pollution (pm2.5)
24007,0,Particulate matter air pollution (pm2.5) absorbance; 2010,Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Particulate matter air pollution (pm2.5)
24008,0,Particulate matter air pollution 2.5-10um; 2010,Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Particulate matter air pollution 2.5-10um
24014,0,Close to major road,Categorical single,7,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Close to major road
24020,0,Average daytime sound level of noise pollution,Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Daytime noise pollution
24021,0,Average evening sound level of noise pollution,Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Evening noise pollution
24022,0,Average night-time sound level of noise pollution,Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Night-time noise pollution
24500,0,"Greenspace percentage, buffer 1000m",Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Greenspace percentage
26410,0,Index of Multiple Deprivation (England),Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Index of Multiple Deprivation
26426,0,Index of Multiple Deprivation (Wales),Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Index of Multiple Deprivation
26427,0,Index of Multiple Deprivation (Scotland),Continuous,NA,Natural and social environment,Residential,"0, MCAR",NA,1,NA,Index of Multiple Deprivation
30000,0,White blood cell (leukocyte) count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,White blood cell count
30010,0,Red blood cell (erythrocyte) count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Red blood cell count
30020,0,Haemoglobin concentration,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Haemoglobin concentration
30030,0,Haematocrit percentage,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Haematocrit percentage
30040,0,Mean corpuscular volume,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Mean corpuscular volume
30050,0,Mean corpuscular haemoglobin,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Mean corpuscular haemoglobin
30060,0,Mean corpuscular haemoglobin concentration,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Mean corpuscular haemoglobin concentration
30070,0,Red blood cell (erythrocyte) distribution width,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Red blood cell distribution width
30080,0,Platelet count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Platelet count
30090,0,Platelet crit,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Platelet crit
30100,0,Mean platelet (thrombocyte) volume,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Mean platelet volume
30110,0,Platelet distribution width,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Platelet distribution width
30120,0,Lymphocyte count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Lymphocyte count
30130,0,Monocyte count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Monocyte count
30140,0,Neutrophill count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Neutrophill count
30150,0,Eosinophill count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Eosinophill count
30160,0,Basophill count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Basophill count
30170,0,Nucleated red blood cell count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Nucleated red blood cell count
30180,0,Lymphocyte percentage,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Lymphocyte percentage
30190,0,Monocyte percentage,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Monocyte percentage
30200,0,Neutrophill percentage,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Neutrophill percentage
30210,0,Eosinophill percentage,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Eosinophill percentage
30220,0,Basophill percentage,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Basophill percentage
30230,0,Nucleated red blood cell percentage,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Nucleated red blood cell percentage
30240,0,Reticulocyte percentage,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Reticulocyte percentage
30250,0,Reticulocyte count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Reticulocyte count
30260,0,Mean reticulocyte volume,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Mean reticulocyte volume
30270,0,Mean sphered cell volume,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Mean sphered cell volume
30280,0,Immature reticulocyte fraction,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,Immature reticulocyte fraction
30290,0,High light scatter reticulocyte percentage,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,High light scatter reticulocyte percentage
30300,0,High light scatter reticulocyte count,Continuous,NA,Measures,Blood,"0, MCAR",indicator,1,NA,High light scatter reticulocyte count
30500,0,Microalbumin in urine,Continuous,NA,Measures,Urine,"0, MCAR",NA,1,NA,Microalbumin in urine
30510,0,Creatinine (enzymatic) in urine,Continuous,NA,Measures,Urine,"0, MCAR",NA,1,NA,Creatinine (enzymatic) in urine
30520,0,Potassium in urine,Continuous,NA,Measures,Urine,"0, MCAR",NA,1,NA,Potassium in urine
30530,0,Sodium in urine,Continuous,NA,Measures,Urine,"0, MCAR",NA,1,NA,Sodium in urine
30600,0,Albumin,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Albumin
30610,0,Alkaline phosphatase,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Alkaline phosphatase
30620,0,Alanine aminotransferase,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Alanine aminotransferase
30630,0,Apolipoprotein A,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Apolipoprotein A
30640,0,Apolipoprotein B,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Apolipoprotein B
30650,0,Aspartate aminotransferase,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Aspartate aminotransferase
30660,0,Direct bilirubin,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Direct bilirubin
30670,0,Urea,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Urea
30680,0,Calcium,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Calcium
30690,0,Cholesterol,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Cholesterol
30700,0,Creatinine,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Creatinine
30710,0,C-reactive protein,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,C-reactive protein
30720,0,Cystatin C,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Cystatin C
30730,0,Gamma glutamyltransferase,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Gamma glutamyltransferase
30740,0,Glucose,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Glucose
30750,0,Glycated haemoglobin (HbA1c),Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Glycated haemoglobin (HbA1c)
30760,0,HDL cholesterol,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,HDL cholesterol
30770,0,IGF-1,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,IGF-1
30780,0,LDL direct,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,LDL direct
30790,0,Lipoprotein A,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Lipoprotein A
30800,0,Oestradiol,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Oestradiol
30810,0,Phosphate,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Phosphate
30820,0,Rheumatoid factor,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Rheumatoid factor
30830,0,SHBG,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,SHBG
30840,0,Total bilirubin,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Total bilirubin
30850,0,Testosterone,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Testosterone
30860,0,Total protein,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Total protein
30870,0,Triglycerides,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Triglycerides
30880,0,Urate,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Urate
30890,0,Vitamin D,Continuous,NA,Measures,biochemistry,"0, MCAR",indicator,1,NA,Vitamin D
